R9PLT  LON,LAT,size  -57.89565324783325 -34.96598482131958 1500
457.372808 456.5115672806128 2264 101.84196841246755 260.63621581617696
457.375933 456.51469228061273 2048 101.62596841246756 260.42021581617695
457.376683 456.5154422806128 1792 101.36996841246756 260.1642158161769
457.377058 456.51581728061274 1536 101.11396841246756 259.90821581617695
457.377308 456.5160672806128 1280 100.85796841246756 259.6522158161769
457.377433 456.51619228061276 1024 100.60196841246756 259.39621581617695
457.377558 456.5163172806128 896 100.47396841246756 259.26821581617696
457.377683 456.51644228061275 768 100.34596841246756 259.1402158161769
457.383016 456.52177528061276 -645 98.93296841246756 257.72721581617697
457.383433 456.5221922806128 -768 98.80996841246755 257.604215816177
457.383766 456.52252528061274 -896 98.68196841246755 257.47621581617693
457.384016 456.52277528061273 -1024 98.55396841246755 257.34821581617695
457.387766 456.52652528061276 -1332 98.24596841246756 257.04021581617695
457.388766 456.52752528061274 -1280 98.29796841246755 257.092215816177
457.389266 456.5280252806128 -1024 98.55396841246755 257.34821581617695
457.390474 456.52923328061274 -768 98.80996841246755 257.604215816177
457.390724 456.52948328061274 -640 98.93796841246755 257.73221581617696
457.392974 456.53173328061274 658 100.23596841246756 259.03021581617696
457.393141 456.5319002806128 768 100.34596841246756 259.1402158161769
457.393307 456.53206628061275 896 100.47396841246756 259.26821581617696
457.393432 456.5321912806128 1024 100.60196841246756 259.39621581617695
457.393682 456.5324412806128 1280 100.85796841246756 259.6522158161769
457.393932 456.53269128061277 1536 101.11396841246756 259.90821581617695
457.394141 456.53290028061275 1792 101.36996841246756 260.1642158161769
457.394349 456.53310828061274 2048 101.62596841246756 260.42021581617695
457.394974 456.53373328061275 2560 102.13796841246756 260.93221581617695
457.398266 456.53702528061274 3280 102.85796841246756 261.6522158161769
457.400766 456.53952528061274 3072 102.64996841246756 261.44421581617695
457.401849 456.5406082806128 2560 102.13796841246756 260.93221581617695
457.402057 456.5408162806128 2048 101.62596841246756 260.42021581617695
457.402266 456.54102528061276 1792 101.36996841246756 260.1642158161769
457.402474 456.54123328061274 1536 101.11396841246756 259.90821581617695
457.402641 456.5414002806128 1280 100.85796841246756 259.6522158161769
457.402766 456.54152528061275 1024 100.60196841246756 259.39621581617695
457.402849 456.54160828061276 896 100.47396841246756 259.26821581617696
457.402974 456.54173328061273 736 100.31396841246756 259.10821581617694
457.408682 456.54744128061276 703 100.28096841246756 259.0752158161769
457.409224 456.54798328061275 640 100.21796841246756 259.01221581617693
457.410682 456.54944128061277 -513 99.06496841246755 257.85921581617697
